,vacancy,salary,link,site
215,Data Engineer (Аудиторные технологии),ЗП не указана,https://hh.ru/vacancy/70979772?query=data+engineer,hh.ru
216,Supply Data Analyst,ЗП не указана,https://hh.ru/vacancy/73036179?query=data+engineer,hh.ru
217,Associate Professor - Data Science&AI,ЗП не указана,https://hh.ru/vacancy/73328853?query=data+engineer,hh.ru
218,Assistant Professor - Data Science&AI,ЗП не указана,https://hh.ru/vacancy/73328547?query=data+engineer,hh.ru
219,Senior Data Engineer,ЗП не указана,https://hh.ru/vacancy/54975410?query=data+engineer,hh.ru
220,Data Engineer (Hadoop),ЗП не указана,https://hh.ru/vacancy/55308054?query=data+engineer,hh.ru
221,Data Scientist / Machine Learning Engineer,ЗП не указана,https://hh.ru/vacancy/73453368?query=data+engineer,hh.ru
222,3D Environment Artist,ЗП не указана,https://hh.ru/vacancy/73587742?query=data+engineer,hh.ru
223,Python инженер,ЗП не указана,https://hh.ru/vacancy/73711033?query=data+engineer,hh.ru
224,WS and FF engineer,250 000 – 300 000 руб.,https://hh.ru/vacancy/73435543?query=data+engineer,hh.ru
225,Data Scientist,ЗП не указана,https://hh.ru/vacancy/70862418?query=data+engineer,hh.ru
226,Data Scientist в команду лояльности СберСпасибо,ЗП не указана,https://hh.ru/vacancy/74183834?query=data+engineer,hh.ru
227,Senior Data Scientist,до 300 000 руб.,https://hh.ru/vacancy/70168410?query=data+engineer,hh.ru
228,Инженер данных,ЗП не указана,https://hh.ru/vacancy/71229402?query=data+engineer,hh.ru
229,Team lead Data scientist (проект Ucell),ЗП не указана,https://hh.ru/vacancy/73245446?query=data+engineer,hh.ru
230,Ведущий разработчик баз данных DWH/ETL/Data engineer,ЗП не указана,https://hh.ru/vacancy/73764134?query=data+engineer,hh.ru
231,Специалист технической поддержки,120 000 – 160 000 руб.,https://hh.ru/vacancy/71345689?query=data+engineer,hh.ru
232,Data scientist Middle/Middle+ (офис),100 000 – 200 000 руб.,https://hh.ru/vacancy/72008668?query=data+engineer,hh.ru
233,Инженер данных (Frontend),ЗП не указана,https://hh.ru/vacancy/69354887?query=data+engineer,hh.ru
234,Software Engineer (C/C++),ЗП не указана,https://hh.ru/vacancy/73522780?query=data+engineer,hh.ru
235,BigData DevOps engineer,ЗП не указана,https://hh.ru/vacancy/73696728?query=data+engineer,hh.ru
236,Lead Data Scientist (Разработчик AI/ML),ЗП не указана,https://hh.ru/vacancy/72285658?query=data+engineer,hh.ru
237,Разработчик SQL/Data инженер,ЗП не указана,https://hh.ru/vacancy/73236467?query=data+engineer,hh.ru
238,Software Developing Engineer,ЗП не указана,https://hh.ru/vacancy/73704324?query=data+engineer,hh.ru
239,Crypto Analyst,ЗП не указана,https://hh.ru/vacancy/73719435?query=data+engineer,hh.ru
240,Разработчик ETL(Hadoop),ЗП не указана,https://hh.ru/vacancy/73502011?query=data+engineer,hh.ru
241,Senior Data Scientist/ML Engineer SberDevices,ЗП не указана,https://hh.ru/vacancy/67924416?query=data+engineer,hh.ru
242,Product Owner на развитие хранилища данных (Data Governance),ЗП не указана,https://hh.ru/vacancy/72141937?query=data+engineer,hh.ru
243,"Senior Machine Learning Engineer (Prediction, Autonomous Driving)",ЗП не указана,https://hh.ru/vacancy/73243254?query=data+engineer,hh.ru
244,DevOps инженер (Bigdata),ЗП не указана,https://hh.ru/vacancy/73084933?query=data+engineer,hh.ru
245,Data Scientist,ЗП не указана,https://hh.ru/vacancy/71291372?query=data+engineer,hh.ru
246,Data Scientist (SberDevices),ЗП не указана,https://hh.ru/vacancy/68148229?query=data+engineer,hh.ru
247,ML Engineer / Data Scientist в команду автоматизации ML-процессов,ЗП не указана,https://hh.ru/vacancy/73202153?query=data+engineer,hh.ru
248,Data engineer (junior),ЗП не указана,https://hh.ru/vacancy/74059888?query=data+engineer,hh.ru
249,Data Engineer,100 000 – 120 000 руб.,https://hh.ru/vacancy/72996448?query=data+engineer,hh.ru
250,Стажер Data Engineer,ЗП не указана,https://hh.ru/vacancy/71889586?query=data+engineer,hh.ru
251,Data engineer (направление предиктивной аналитики),ЗП не указана,https://hh.ru/vacancy/71083302?query=data+engineer,hh.ru
252,QA Engineer (Data),3 300 – 4 500 EUR,https://hh.ru/vacancy/73859927?query=data+engineer,hh.ru
253,Junior + Data Engineer в СберМаркет,ЗП не указана,https://hh.ru/vacancy/73445824?query=data+engineer,hh.ru
