,vacancy,salary,link,site
165,Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/91351789?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
166,Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/91275328?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
167,Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/90765834?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
168,Senior Data scientist (Deep Learning),ЗП не указана,https://hh.ru/vacancy/91309705?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
169,Data engineer,ЗП не указана,https://hh.ru/vacancy/90776082?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
170,Data Analyst,ЗП не указана,https://hh.ru/vacancy/88547027?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
171,Data Scientist,от 100 000 ₽,https://hh.ru/vacancy/92203995?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
172,Data scientist ML,ЗП не указана,https://hh.ru/vacancy/92414317?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
173,Data Scientist,ЗП не указана,https://hh.ru/vacancy/90844110?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
174,"Аналитик данных / Data scientist, удаленно",ЗП не указана,https://hh.ru/vacancy/88054843?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
175,Data Scientist (модели Collection),ЗП не указана,https://hh.ru/vacancy/90051408?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
176,Junior Data Scientist,ЗП не указана,https://hh.ru/vacancy/92076947?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
177,Data Scientist (CV+NLP),ЗП не указана,https://hh.ru/vacancy/92193831?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
178,Data Scientist / ML-специалист,от 170 000 ₽,https://hh.ru/vacancy/92090712?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
179,Data Scientist (модели PD/LGD/EAD),ЗП не указана,https://hh.ru/vacancy/89017784?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
180,Data Scientist (LLM),ЗП не указана,https://hh.ru/vacancy/89050119?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
181,Data Analyst / Data Scientist (Junior/Junior+),ЗП не указана,https://hh.ru/vacancy/91479023?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
182,Middle Data Scientist/Senior,ЗП не указана,https://hh.ru/vacancy/88956110?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
